sentence,product,part,class
Motorola Edge+'s earpiece is too quiet. I can barely hear calls in slightly noisy environments.,Motorola Edge+,earpiece,negative
The Realme GT's in-display fingerprint scanner is inconsistent and often fails to recognize my finger.,Realme GT,fingerprint scanner,negative
Asus ROG Phone 5's air triggers are gimmicky and not very responsive. They're more frustrating than helpful.,Asus ROG Phone 5,air triggers,negative
Nokia 8.3 5G's camera module protrudes too much. It's always the first thing to hit when I put the phone down.,Nokia 8.3 5G,camera module,negative
Vivo X60 Pro's power button is placed awkwardly. It's hard to reach and I keep pressing it accidentally.,Vivo X60 Pro,power button,negative
The Huawei Mate 40 Pro's volume rocker is too high up on the side. It's a stretch to adjust the volume one-handed.,Huawei Mate 40 Pro,volume rocker,negative
ZTE Axon 30 Ultra's under-display selfie camera produces grainy and unclear photos. It's a step backward in quality.,ZTE Axon 30 Ultra,selfie camera,negative
Lenovo Legion Phone Duel 2's pop-up camera feels fragile. I'm worried it'll break with regular use.,Lenovo Legion Phone Duel 2,pop-up camera,negative
The BlackBerry Key2's physical keyboard takes up too much space. The screen feels cramped as a result.,BlackBerry Key2,physical keyboard,negative
TCL 20 Pro 5G's glossy back is a fingerprint magnet. It looks messy after just a few minutes of use.,TCL 20 Pro 5G,back panel,negative
Honor 50 Pro's charging port feels loose. The cable doesn't stay in place securely.,Honor 50 Pro,charging port,negative
The Poco F3's camera bump is so large that the phone rocks back and forth when on a flat surface.,Poco F3,camera bump,negative
Microsoft Surface Duo's hinge is too stiff. It's difficult to open and close the device smoothly.,Microsoft Surface Duo,hinge,negative
Google Pixel 5a 5G's plastic frame feels cheap and prone to scratches. It's disappointing for the price.,Google Pixel 5a 5G,frame,negative
OnePlus Nord 2's alert slider is too stiff. It's hard to switch between modes quickly.,OnePlus Nord 2,alert slider,negative
The iPhone SE (2nd gen)'s screen is too small. It's difficult to type accurately on the cramped keyboard.,iPhone SE (2nd gen),screen,negative
Samsung Galaxy A52's in-box charger is painfully slow. It takes forever to charge the phone.,Samsung Galaxy A52,charger,negative
Motorola Moto G Power's macro camera is useless. The quality is so poor that I never use it.,Motorola Moto G Power,macro camera,negative
The Xiaomi Redmi Note 10 Pro's proximity sensor is unreliable. The screen often stays on during calls.,Xiaomi Redmi Note 10 Pro,proximity sensor,negative
Sony Xperia 5 III's tall aspect ratio makes it awkward to use one-handed. It's constantly at risk of dropping.,Sony Xperia 5 III,form factor,negative
Oppo Reno6 Pro's under-display fingerprint sensor is slow and often fails to recognize my finger.,Oppo Reno6 Pro,fingerprint sensor,negative
The Google Pixel 4a's plastic back feels cheap and is prone to scratches. It looks worn out after just a few weeks.,Google Pixel 4a,back panel,negative
LG Wing's swivel screen mechanism feels fragile. I'm always worried it'll break with regular use.,LG Wing,swivel mechanism,negative
OnePlus 8T's camera bump is huge and makes the phone wobble on flat surfaces. It's really annoying.,OnePlus 8T,camera bump,negative
The Huawei P40 Pro's lack of Google services makes many of its hardware features feel useless.,Huawei P40 Pro,hardware compatibility,negative
iPhone 13 Pro Max's notch is still too big. It takes up valuable screen space unnecessarily.,iPhone 13 Pro Max,notch,negative
Samsung Galaxy Z Fold3's inner screen protector feels cheap and is prone to bubbling. It's frustrating for such an expensive device.,Samsung Galaxy Z Fold3,screen protector,negative
The Google Pixel 6 Pro's curved screen causes accidental touches constantly. It's more annoying than premium.,Google Pixel 6 Pro,curved screen,negative
OnePlus 10 Pro's camera color science is off. Photos often have an unnatural oversaturated look.,OnePlus 10 Pro,camera sensor,negative
Xiaomi 12 Pro's in-display fingerprint sensor is inconsistent and often fails to recognize my finger.,Xiaomi 12 Pro,fingerprint sensor,negative
The Sony Xperia Pro-I's dedicated camera button is too small and doesn't provide enough tactile feedback.,Sony Xperia Pro-I,camera button,negative
Asus Zenfone 8's compact size makes the battery life suffer. It barely lasts through a day of moderate use.,Asus Zenfone 8,battery,negative
Vivo V23 Pro's color-changing back is more of a gimmick than a useful feature. It doesn't work well in real life.,Vivo V23 Pro,back panel,negative
The Nokia X20's screen brightness is inadequate for outdoor use. It's barely visible in sunlight.,Nokia X20,display,negative
Realme GT 2 Pro's under-display fingerprint sensor is slow and often misses. It's frustrating to use.,Realme GT 2 Pro,fingerprint sensor,negative
Motorola Edge 20 Pro's camera performs poorly in low light. The night mode is particularly disappointing.,Motorola Edge 20 Pro,camera sensor,negative
The Oppo Find N's hinge still has a visible crease. It's distracting when using the inner display.,Oppo Find N,foldable display,negative
iPhone 12 mini's battery life is abysmal. It barely lasts half a day with moderate use.,iPhone 12 mini,battery,negative
Samsung Galaxy S22 Ultra's S Pen silo is hard to access. It's difficult to remove the stylus quickly.,Samsung Galaxy S22 Ultra,S Pen silo,negative
The Google Pixel 5's under-display speaker is a downgrade. Call quality and media playback suffer as a result.,Google Pixel 5,speaker,negative
OnePlus Nord CE 2's plastic frame feels cheap and is prone to scratches. It's disappointing for the price.,OnePlus Nord CE 2,frame,negative
Xiaomi 11T Pro's 120W charging generates too much heat. I'm worried about long-term battery health.,Xiaomi 11T Pro,charging system,negative
The Sony Xperia 10 III's side-mounted fingerprint sensor is awkwardly placed. It's hard to reach naturally.,Sony Xperia 10 III,fingerprint sensor,negative
Huawei Nova 9's camera bump is massive. The phone wobbles significantly on flat surfaces.,Huawei Nova 9,camera bump,negative
Oppo Find X5 Pro's ceramic back is slippery and prone to fingerprints. It's hard to keep clean.,Oppo Find X5 Pro,back panel,negative
The Vivo X70 Pro+'s periscope zoom lens produces noisy images. The quality degrades quickly as you zoom in.,Vivo X70 Pro+,zoom lens,negative
Realme 8 5G's macro camera is practically useless. The image quality is too poor to be of any real use.,Realme 8 5G,macro camera,negative
iPhone SE (3rd gen)'s screen bezels are huge. It looks outdated compared to other phones in its price range.,iPhone SE (3rd gen),screen bezels,negative
The Samsung Galaxy A73 5G's plastic back feels cheap for its price. It's prone to scratches and fingerprints.,Samsung Galaxy A73 5G,back panel,negative
Google Pixel 6a's in-display fingerprint sensor is slow and unreliable. It's frustrating to use daily.,Google Pixel 6a,fingerprint sensor,negative
OnePlus 10R's charging cable is too short. It's inconvenient to use the phone while it's plugged in.,OnePlus 10R,charging cable,negative
The Xiaomi Poco F4 GT's pop-up triggers feel gimmicky. They're not very useful in real-world gaming scenarios.,Xiaomi Poco F4 GT,pop-up triggers,negative
Sony Xperia 5 IV's camera app is sluggish. It often misses moments due to slow startup and capture times.,Sony Xperia 5 IV,camera software,negative
Asus ROG Phone 6 Pro's RGB logo on the back is pointless. It just drains the battery for no real benefit.,Asus ROG Phone 6 Pro,RGB logo,negative
The Vivo V25 Pro's color-changing back is more of a gimmick than a useful feature. It doesn't work as advertised.,Vivo V25 Pro,back panel,negative
Nokia G50's screen resolution is too low for its size. Text and images look pixelated.,Nokia G50,display,negative
Realme 9 Pro+'s under-display fingerprint sensor is inconsistent. It often fails to recognize my finger.,Realme 9 Pro+,fingerprint sensor,negative
The Motorola Edge 30 Ultra's 200MP camera is overkill. It takes up too much storage without noticeable quality improvements.,Motorola Edge 30 Ultra,main camera,negative
Oppo Reno8 Pro's facial recognition is unreliable in low light. It often fails to unlock the phone.,Oppo Reno8 Pro,facial recognition,negative
iPhone 14 Pro's Dynamic Island takes up too much screen space. It's more intrusive than the old notch.,iPhone 14 Pro,Dynamic Island,negative
The Samsung Galaxy Z Flip4's cover screen is too small. It's not very useful for most tasks.,Samsung Galaxy Z Flip4,cover screen,negative
Google Pixel 7's face unlock is less secure than fingerprint. It feels like a step backward in biometric security.,Google Pixel 7,face unlock,negative
OnePlus 11's alert slider is stiffer than previous models. It's harder to switch modes quickly.,OnePlus 11,alert slider,negative
The Xiaomi 13 Pro's camera bump is massive. It makes the phone unstable on flat surfaces.,Xiaomi 13 Pro,camera bump,negative
Sony Xperia 1 V's 4K display is overkill. It drains the battery quickly without noticeable visual improvements.,Sony Xperia 1 V,display,negative
Huawei Mate 50 Pro's lack of 5G support is a major drawback. It feels outdated for a flagship device.,Huawei Mate 50 Pro,network chip,negative
The Oppo Find N2 Flip's outer screen is too small. It's not very useful for most tasks.,Oppo Find N2 Flip,cover screen,negative
Vivo X90 Pro+'s periscope zoom lens produces noisy images at high zoom levels. The quality degrades quickly.,Vivo X90 Pro+,zoom lens,negative
Realme GT3's 240W charging generates too much heat. I'm worried about long-term battery health.,Realme GT3,charging system,negative
The iPhone 14's satellite connectivity feature is limited. It's not useful in most everyday situations.,iPhone 14,satellite connectivity,negative
Samsung Galaxy A54 5G's plastic frame feels cheap. It's prone to scratches and doesn't feel premium.,Samsung Galaxy A54 5G,frame,negative
Google Pixel 7a's wireless charging is too slow to be practical. It's faster to just use a cable.,Google Pixel 7a,wireless charging,negative
The OnePlus Nord 3's macro camera is a waste of space. The image quality is too poor to be useful.,OnePlus Nord 3,macro camera,negative
Xiaomi Redmi Note 12 Pro+'s 200MP camera is overkill. It takes up too much storage without significant quality improvements.,Xiaomi Redmi Note 12 Pro+,main camera,negative
Sony Xperia 10 V's side-mounted fingerprint sensor is awkwardly placed. It's hard to reach naturally.,Sony Xperia 10 V,fingerprint sensor,negative
The Asus Zenfone 10's compact size makes typing accurately difficult. The keyboard feels cramped.,Asus Zenfone 10,screen size,negative
Vivo X Fold2's inner screen crease is still noticeable. It's distracting when using the unfolded display.,Vivo X Fold2,foldable display,negative
Nokia X30 5G's camera performs poorly in low light. The night mode is particularly disappointing.,Nokia X30 5G,camera sensor,negative
The Realme 11 Pro+'s under-display fingerprint sensor is slow and often misses. It's frustrating to use daily.,Realme 11 Pro+,fingerprint sensor,negative
Motorola Razr 40 Ultra's outer screen is prone to scratches. It feels less durable than the main display.,Motorola Razr 40 Ultra,cover screen,negative
Oppo Reno10 Pro+'s periscope zoom lens produces noisy images. The quality degrades quickly at high zoom levels.,Oppo Reno10 Pro+,zoom lens,negative
The iPhone 15 Pro's titanium frame dents easily. It's less durable than expected for a premium material.,iPhone 15 Pro,frame,negative
Samsung Galaxy S23 FE's plastic back feels cheap for its price. It's prone to scratches and fingerprints.,Samsung Galaxy S23 FE,back panel,negative
Google Pixel Fold's inner screen protector feels cheap and is prone to bubbling. It's frustrating for such an expensive device.,Google Pixel Fold,screen protector,negative
The OnePlus Open's hinge still has a visible crease. It's distracting when using the inner display.,OnePlus Open,foldable display,negative
Xiaomi 13T Pro's in-display fingerprint sensor is inconsistent. It often fails to recognize my finger quickly.,Xiaomi 13T Pro,fingerprint sensor,negative
Nothing Phone 2's glyph interface is more of a gimmick than a useful feature. It drains the battery unnecessarily.,Nothing Phone 2,glyph interface,negative
I'm really disappointed with the iPhone 13's battery life; it barely lasts half a day with moderate use.,iPhone 13,battery,negative
The camera bump on the Samsung Galaxy S21 Ultra is so huge it makes the phone wobble on flat surfaces.,Samsung Galaxy S21 Ultra,camera,negative
I can't stand how easily the OnePlus 9 Pro's screen gets fingerprint smudges; it's always a mess.,OnePlus 9 Pro,screen,negative
The facial recognition on my Google Pixel 6 is unreliable; it often fails to unlock in low light.,Google Pixel 6,facial recognition sensor,negative
My Xiaomi Mi 11's processor overheats quickly during gaming sessions making it uncomfortable to hold.,Xiaomi Mi 11,processor,negative
The Sony Xperia 1 III's tall aspect ratio makes it awkward to use one-handed; I'm constantly struggling.,Sony Xperia 1 III,display,negative
I'm not impressed with the Oppo Find X3 Pro's under-display fingerprint sensor; it's slow and inaccurate.,Oppo Find X3 Pro,fingerprint sensor,negative
The LG Velvet's haptic feedback feels cheap and unsatisfying; I expected better at this price point.,LG Velvet,haptic engine,negative
My Motorola Edge+'s curved display causes accidental touches constantly; it's driving me crazy.,Motorola Edge+,curved display,negative
The Realme GT's plastic frame feels flimsy and cheap; I worry about its durability.,Realme GT,frame,negative
I'm frustrated with the Asus ROG Phone 5's poor water resistance; I can't use it near the pool.,Asus ROG Phone 5,water resistance,negative
The Nokia 8.3 5G's camera produces washed-out colors; my photos never look as good as I hope.,Nokia 8.3 5G,camera sensor,negative
My Vivo X60 Pro's in-display fingerprint reader is inconsistent; I often have to try multiple times.,Vivo X60 Pro,fingerprint reader,negative
The Huawei Mate 40 Pro's lack of Google services makes it nearly unusable for my daily tasks.,Huawei Mate 40 Pro,software compatibility,negative
I'm disappointed by the ZTE Axon 30 Ultra's selfie camera quality; my selfies always look grainy.,ZTE Axon 30 Ultra,front camera,negative
The Lenovo Legion Phone Duel 2's pop-up camera feels fragile; I'm worried it'll break easily.,Lenovo Legion Phone Duel 2,pop-up camera,negative
My BlackBerry Key2's physical keyboard takes up too much space; the screen feels cramped.,BlackBerry Key2,physical keyboard,negative
The TCL 20 Pro 5G's auto-brightness feature is overly aggressive; I'm constantly adjusting it manually.,TCL 20 Pro 5G,ambient light sensor,negative
I find the Honor 50 Pro's glossy back too slippery; it's constantly sliding off surfaces.,Honor 50 Pro,back panel,negative
The Poco F3's vibration motor is weak; I often miss notifications when the phone is in my pocket.,Poco F3,vibration motor,negative
Microsoft Surface Duo's hinge feels loose after a few months; I'm concerned about its longevity.,Microsoft Surface Duo,hinge,negative
The Google Pixel 5a 5G's plastic body scratches too easily; it looked worn out within weeks.,Google Pixel 5a 5G,body material,negative
I'm frustrated with the OnePlus Nord 2's mono speaker; the audio quality is tinny and unsatisfying.,OnePlus Nord 2,speaker,negative
The iPhone SE (2nd gen)'s small screen makes typing difficult; I make too many mistakes.,iPhone SE (2nd gen),display size,negative
My Samsung Galaxy A52's macro camera feels like a useless addition; the quality is too poor to be useful.,Samsung Galaxy A52,macro camera,negative
The Motorola Moto G Power's charging speed is frustratingly slow; it takes forever to fully charge.,Motorola Moto G Power,charging system,negative
I'm disappointed by the Xiaomi Redmi Note 10 Pro's low light camera performance; night shots are always blurry.,Xiaomi Redmi Note 10 Pro,night mode camera,negative
The Sony Xperia 5 III's dedicated camera button is too stiff; it's hard to press without shaking the phone.,Sony Xperia 5 III,camera button,negative
My Oppo Reno6 Pro's ultra-wide camera has noticeable distortion at the edges; it ruins landscape photos.,Oppo Reno6 Pro,ultra-wide camera,negative
The Google Pixel 4a's screen brightness is insufficient for outdoor use; I can barely see it in sunlight.,Google Pixel 4a,display brightness,negative
I find the LG Wing's swivel screen gimmicky; it's not practical for everyday use.,LG Wing,swivel screen,negative
The OnePlus 8T's glass back is a fingerprint magnet; it looks messy minutes after cleaning.,OnePlus 8T,back panel,negative
My Huawei P40 Pro's lack of wireless charging is inconvenient; I miss this feature from my old phone.,Huawei P40 Pro,charging capability,negative
The iPhone 13 Pro Max is too heavy; my wrist hurts after extended use.,iPhone 13 Pro Max,weight,negative
I'm disappointed with the Samsung Galaxy Z Fold3's inner screen protector; it feels cheap and bubbles easily.,Samsung Galaxy Z Fold3,screen protector,negative
The Google Pixel 6 Pro's auto-focus is unreliable; I often end up with blurry photos.,Google Pixel 6 Pro,camera autofocus,negative
My OnePlus 10 Pro's alert slider is too easy to accidentally toggle; I'm always changing modes unintentionally.,OnePlus 10 Pro,alert slider,negative
The Xiaomi 12 Pro's in-hand feel is too slippery; I'm constantly afraid of dropping it.,Xiaomi 12 Pro,ergonomics,negative
I find the Sony Xperia Pro-I's dedicated video recording app confusing; it's not user-friendly.,Sony Xperia Pro-I,camera software,negative
The Asus Zenfone 8's compact size compromises battery life; I can't get through a full day.,Asus Zenfone 8,battery capacity,negative
My Vivo V23 Pro's color-changing back is more gimmicky than practical; it doesn't add real value.,Vivo V23 Pro,back panel,negative
The Nokia X20's screen resolution is disappointingly low for its size; text doesn't look crisp.,Nokia X20,screen resolution,negative
I'm frustrated with the Realme GT 2 Pro's unreliable proximity sensor; it often fails during calls.,Realme GT 2 Pro,proximity sensor,negative
The Motorola Edge 20 Pro's camera bump is too pronounced; the phone doesn't lie flat on tables.,Motorola Edge 20 Pro,camera bump,negative
My Oppo Find N's crease is still visible and felt when using the inner display; it's distracting.,Oppo Find N,foldable display,negative
The iPhone 12 mini's small battery doesn't last through my workday; I always need a mid-day charge.,iPhone 12 mini,battery capacity,negative
I find the Samsung Galaxy S22 Ultra's S Pen silo too small; it's fiddly to remove and replace the stylus.,Samsung Galaxy S22 Ultra,S Pen silo,negative
The Google Pixel 5's under-display speaker produces tinny audio; call quality suffers.,Google Pixel 5,earpiece speaker,negative
My OnePlus Nord CE 2's plastic frame feels cheap compared to other phones in this price range.,OnePlus Nord CE 2,frame material,negative
The Xiaomi 11T Pro's 120W charging generates too much heat; I worry about long-term battery health.,Xiaomi 11T Pro,fast charging system,negative
I'm disappointed by the Sony Xperia 10 III's dim display; it's hard to use outdoors.,Sony Xperia 10 III,screen brightness,negative
The Huawei Nova 9's emui interface is cluttered; I find it confusing to navigate.,Huawei Nova 9,user interface,negative
My Oppo Find X5 Pro's zoom capability is limited; I miss having a periscope lens for better range.,Oppo Find X5 Pro,telephoto camera,negative
The Vivo X70 Pro+'s large camera module makes the phone top-heavy and awkward to hold.,Vivo X70 Pro+,camera module,negative
I find the Realme 8 5G's macro camera to be a waste; the quality is too poor to be useful.,Realme 8 5G,macro camera,negative
The iPhone SE (3rd gen)'s old design with large bezels feels outdated; it's hard to justify the price.,iPhone SE (3rd gen),design,negative
My Samsung Galaxy A73 5G's plastic back picks up scratches too easily; it looks worn quickly.,Samsung Galaxy A73 5G,back panel material,negative
The Google Pixel 6a's under-display fingerprint sensor is frustratingly slow; I often resort to using my PIN.,Google Pixel 6a,fingerprint sensor,negative
I'm disappointed with the OnePlus 10R's build quality; it doesn't feel as premium as previous models.,OnePlus 10R,build quality,negative
The Xiaomi Poco F4 GT's magnetic pop-up triggers feel gimmicky; I rarely use them in real gaming scenarios.,Xiaomi Poco F4 GT,gaming triggers,negative
My Sony Xperia 5 IV's tall aspect ratio makes it difficult to use one-handed; reaching the top is a stretch.,Sony Xperia 5 IV,display aspect ratio,negative
The Asus ROG Phone 6 Pro's gaming accessories feel overpriced and bulky; they're impractical for daily use.,Asus ROG Phone 6 Pro,gaming accessories,negative
I find the Vivo V25 Pro's color-changing back more of a gimmick than a useful feature.,Vivo V25 Pro,back panel,negative
The Nokia G50's processor is underpowered; apps often lag and multitasking is frustrating.,Nokia G50,processor,negative
My Realme 9 Pro+'s night mode camera performance is disappointing; photos come out grainy and unclear.,Realme 9 Pro+,night mode camera,negative
The Motorola Edge 30 Ultra's 200MP camera produces unnecessarily large files; it quickly fills up my storage.,Motorola Edge 30 Ultra,main camera,negative
I'm not impressed with the Oppo Reno8 Pro's battery life; it drains faster than expected.,Oppo Reno8 Pro,battery,negative
The iPhone 14 Pro's always-on display is too bright at night; it's distracting in dark rooms.,iPhone 14 Pro,always-on display,negative
My Samsung Galaxy Z Flip4's cover screen is too small for meaningful interactions; it feels limited.,Samsung Galaxy Z Flip4,cover display,negative
The Google Pixel 7's face unlock feature isn't as secure as I'd like; I don't trust it for sensitive apps.,Google Pixel 7,face unlock,negative
I find the OnePlus 11's camera software over-processes images; photos often look unnatural.,OnePlus 11,camera software,negative
The Xiaomi 13 Pro's curved screen causes accidental touches; it's more frustrating than elegant.,Xiaomi 13 Pro,curved display,negative
My Sony Xperia 1 V's 4K display drains the battery quickly; the high resolution doesn't seem worth it.,Sony Xperia 1 V,4K display,negative
The Huawei Mate 50 Pro's lack of 5G is a significant drawback in 2023; it feels outdated.,Huawei Mate 50 Pro,network capability,negative
I'm disappointed by the Oppo Find N2 Flip's crease; it's still visible and felt when using the inner display.,Oppo Find N2 Flip,foldable display,negative
The Vivo X90 Pro+'s large camera bump makes the phone wobble on flat surfaces; it's annoying.,Vivo X90 Pro+,camera bump,negative
My Realme GT3's 240W charging seems excessive; I worry about long-term battery degradation.,Realme GT3,fast charging system,negative
The iPhone 14's satellite SOS feature has limited global coverage; it's not reliable everywhere.,iPhone 14,satellite connectivity,negative
I find the Samsung Galaxy A54 5G's plastic frame less premium than expected for its price.,Samsung Galaxy A54 5G,frame material,negative
The Google Pixel 7a's wireless charging is too slow to be practical; I end up using wired charging most of the time.,Google Pixel 7a,wireless charging,negative
My OnePlus Nord 3's alert slider removal is disappointing; I miss this handy feature.,OnePlus Nord 3,physical controls,negative
The Xiaomi Redmi Note 12 Pro+'s 200MP camera feels like overkill; it doesn't significantly improve photo quality.,Xiaomi Redmi Note 12 Pro+,main camera,negative
I'm frustrated with the Sony Xperia 10 V's side-mounted fingerprint sensor; it's awkward to use left-handed.,Sony Xperia 10 V,fingerprint sensor,negative
The Asus Zenfone 10's compact size makes typing difficult; the keyboard feels cramped.,Asus Zenfone 10,display size,negative
My Vivo X Fold2's weight distribution feels off when unfolded; it's tiring to hold for extended periods.,Vivo X Fold2,weight distribution,negative
The Nokia X30 5G's eco-friendly approach seems to compromise on performance; the phone feels sluggish.,Nokia X30 5G,processor,negative
I find the Realme 11 Pro+'s curved display more of a hassle than a benefit; it causes glare and distortion.,Realme 11 Pro+,curved display,negative
The Motorola Razr 40 Ultra's exterior screen attracts fingerprints easily; it always looks smudged.,Motorola Razr 40 Ultra,cover display,negative
My Oppo Reno10 Pro+'s periscope camera produces soft images at full zoom; I expected sharper results.,Oppo Reno10 Pro+,periscope camera,negative
The iPhone 15 Pro's Action Button is too easy to press accidentally; I've triggered it unintentionally.,iPhone 15 Pro,Action Button,negative
I'm disappointed with the Samsung Galaxy S23 FE's plastic back; it feels less premium than expected.,Samsung Galaxy S23 FE,back panel material,negative
The Google Pixel Fold's outer display feels too narrow for comfortable typing; I often make mistakes.,Google Pixel Fold,cover display,negative
My OnePlus Open's hinge doesn't feel as robust as competitors; I worry about its long-term durability.,OnePlus Open,hinge mechanism,negative
The Xiaomi 13T Pro's selfie camera quality is underwhelming; my selfies often lack detail.,Xiaomi 13T Pro,front camera,negative
I find the Nothing Phone 2's glyph interface more distracting than useful; it's a battery-draining gimmick.,Nothing Phone 2,glyph interface,negative
I've been using the iPhone 13 Pro's camera lenses for a while now and they're neither disappointing nor mind-blowing.,iPhone 13 Pro,camera lenses,neutral
The Galaxy S21 Ultra's S Pen compatibility is useful but I'm not sure it's a must-have feature for me.,Galaxy S21 Ultra,S Pen,neutral
I find the OnePlus 9 Pro's Hasselblad-tuned cameras to be decent though not as groundbreaking as I had hoped.,OnePlus 9 Pro,cameras,neutral
The Pixel 6's Tensor chip performs well enough for my daily tasks but I haven't noticed a huge difference from other processors.,Pixel 6,Tensor chip,neutral
I've had mixed results with the Xiaomi Mi 11's 108MP main camera - sometimes it's great other times it's just okay.,Xiaomi Mi 11,main camera,neutral
The Sony Xperia 1 III's 4K display is sharp but I'm not sure if it's noticeably better than lower-resolution screens in everyday use.,Sony Xperia 1 III,4K display,neutral
I appreciate the Oppo Find X3 Pro's microscope camera but I rarely find myself using it in day-to-day life.,Oppo Find X3 Pro,microscope camera,neutral
The LG Velvet's dual-screen accessory is interesting but I'm not convinced it improves my productivity significantly.,LG Velvet,dual-screen accessory,neutral
I've found the Motorola Edge+'s curved display to be visually appealing though it doesn't add much functionality to my experience.,Motorola Edge+,curved display,neutral
The Realme GT's 65W fast charging is convenient but I worry about its long-term impact on the battery's health.,Realme GT,fast charging,neutral
The Asus ROG Phone 5's air triggers are fun for gaming but I don't use them as much as I thought I would.,Asus ROG Phone 5,air triggers,neutral
I've noticed that the Nokia 8.3 5G's Zeiss-branded cameras perform adequately but they don't stand out from the competition.,Nokia 8.3 5G,Zeiss cameras,neutral
The Vivo X60 Pro's gimbal stabilization system works well for videos though I can't say it's drastically better than OIS.,Vivo X60 Pro,gimbal stabilization,neutral
I find the Huawei Mate 40 Pro's camera setup to be capable but the lack of Google services overshadows its performance for me.,Huawei Mate 40 Pro,camera setup,neutral
The ZTE Axon 30 Ultra's under-display selfie camera is an interesting concept but the quality is just average in my experience.,ZTE Axon 30 Ultra,under-display camera,neutral
I've been testing the Lenovo Legion Phone Duel 2's side-mounted pop-up camera and it's novel but not particularly practical for me.,Lenovo Legion Phone Duel 2,pop-up camera,neutral
The BlackBerry Key2's physical keyboard is nostalgic but I'm not sure it's more efficient than a good touchscreen keyboard.,BlackBerry Key2,physical keyboard,neutral
I find the TCL 20 Pro 5G's NXTVISION display technology to be decent though not significantly better than other screens I've used.,TCL 20 Pro 5G,NXTVISION display,neutral
The Honor 50 Pro's 100W fast charging is impressive but I'm unsure about its necessity in my daily routine.,Honor 50 Pro,fast charging,neutral
I've been using the Poco F3's 120Hz display and while it's smooth I don't always notice the difference from 60Hz in regular use.,Poco F3,120Hz display,neutral
The Microsoft Surface Duo's dual-screen design is unique but I find myself struggling to incorporate it into my workflow effectively.,Microsoft Surface Duo,dual-screen design,neutral
I appreciate the Google Pixel 5a 5G's headphone jack though I mostly use wireless earbuds anyway.,Google Pixel 5a 5G,headphone jack,neutral
The OnePlus Nord 2's alert slider is handy but I don't find myself using it as often as I expected.,OnePlus Nord 2,alert slider,neutral
I've been testing the iPhone SE's Touch ID and while it's reliable I'm not sure if I prefer it over Face ID.,iPhone SE,Touch ID,neutral
The Samsung Galaxy A52's plastic back feels decent enough but I'm neutral about its impact on the overall experience.,Samsung Galaxy A52,plastic back,neutral
I find the Motorola Moto G Power's massive battery to be convenient though it does make the phone a bit bulky.,Motorola Moto G Power,battery,neutral
The Xiaomi Redmi Note 10 Pro's 108MP camera can capture detailed shots but I don't always see a significant difference in everyday photos.,Xiaomi Redmi Note 10 Pro,108MP camera,neutral
I've been using the Sony Xperia 5 III's 21:9 display and while it's good for movies I'm not sure it's optimal for all content.,Sony Xperia 5 III,21:9 display,neutral
The Oppo Reno6 Pro's color-changing back is eye-catching but I'm not convinced it adds any practical value to the phone.,Oppo Reno6 Pro,color-changing back,neutral
I find the Google Pixel 4a's compact size comfortable to use though I sometimes miss having a larger screen.,Google Pixel 4a,compact size,neutral
The LG Wing's swivel screen is an interesting concept but I haven't found it particularly useful in my daily life.,LG Wing,swivel screen,neutral
I've been testing the OnePlus 8T's 65W fast charging and while it's quick I'm not sure it's a make-or-break feature for me.,OnePlus 8T,fast charging,neutral
The Huawei P40 Pro's periscope zoom lens produces good results but I don't use zoom that often in my photography.,Huawei P40 Pro,periscope zoom lens,neutral
I find the iPhone 13 Pro Max's Cinematic mode intriguing but I'm not sure how often I'll use it in real-world scenarios.,iPhone 13 Pro Max,Cinematic mode,neutral
The Samsung Galaxy Z Fold3's foldable display is impressive technology though I'm still adapting to using it efficiently.,Samsung Galaxy Z Fold3,foldable display,neutral
I've been using the Google Pixel 6 Pro's Magic Eraser feature and while it's neat it doesn't always produce perfect results.,Google Pixel 6 Pro,Magic Eraser,neutral
The OnePlus 10 Pro's hasselblad color calibration is subtle and I'm not always sure I can spot the difference in my photos.,OnePlus 10 Pro,hasselblad calibration,neutral
I find the Xiaomi 12 Pro's 120W charging to be extremely fast but I'm concerned about its long-term effect on battery health.,Xiaomi 12 Pro,120W charging,neutral
The Sony Xperia Pro-I's 1-inch camera sensor is impressive on paper but I'm not sure it's necessary for my photography needs.,Sony Xperia Pro-I,1-inch camera sensor,neutral
I've been testing the Asus Zenfone 8's compact form factor I sometimes miss having a larger display.,Asus Zenfone 8,compact form factor,neutral
The Vivo V23 Pro's dual selfie cameras are interesting but I don't take enough selfies to fully appreciate the difference.,Vivo V23 Pro,dual selfie cameras,neutral
I find the Nokia X20's eco-friendly packaging commendable though it doesn't affect my day-to-day use of the phone.,Nokia X20,eco-friendly packaging,neutral
The Realme GT 2 Pro's paper-like design is unique but I'm not sure it enhances my overall experience with the device.,Realme GT 2 Pro,paper-like design,neutral
I've been using the Motorola Edge 20 Pro's ready-for platform I don't find myself using it often.,Motorola Edge 20 Pro,ready-for platform,neutral
The Oppo Find N's foldable display has a less noticeable crease but I'm still getting used to the form factor.,Oppo Find N,foldable display,neutral
I find the iPhone 12 mini's compact size convenient for one-handed use though typing can be a bit cramped sometimes.,iPhone 12 mini,compact size,neutral
The Samsung Galaxy S22 Ultra's S Pen integration is well-executed but I don't use it as frequently as I anticipated.,Samsung Galaxy S22 Ultra,S Pen integration,neutral
